Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Anarhichas,minor,55.75,3.25,1500:353:3,0.13
Anarhichas,minor,55.75,3.75,1500:353:4,0.11
Anarhichas,minor,55.25,4.25,1500:354:1,0.06
Anarhichas,minor,55.25,4.75,1500:354:2,0.04
Anarhichas,minor,55.75,4.25,1500:354:3,0.09
Anarhichas,minor,55.75,4.75,1500:354:4,0.07
Anarhichas,minor,56.25,0.25,1500:360:1,0.16
Anarhichas,minor,56.25,0.75,1500:360:2,0.17
Anarhichas,minor,56.75,0.25,1500:360:3,0.16
Anarhichas,minor,56.75,0.75,1500:360:4,0.14
Anarhichas,minor,56.25,1.25,1500:361:1,0.14
Anarhichas,minor,56.25,1.75,1500:361:2,0.15
Anarhichas,minor,56.75,1.25,1500:361:3,0.14
Anarhichas,minor,56.75,1.75,1500:361:4,0.14
Anarhichas,minor,56.25,2.25,1500:362:1,0.14
Anarhichas,minor,56.25,2.75,1500:362:2,0.13
Anarhichas,minor,56.75,2.25,1500:362:3,0.14
Anarhichas,minor,56.75,2.75,1500:362:4,0.11
Anarhichas,minor,56.25,3.25,1500:363:1,0.12
Anarhichas,minor,56.25,3.75,1500:363:2,0.13
Anarhichas,minor,56.75,3.25,1500:363:3,0.12
Anarhichas,minor,56.75,3.75,1500:363:4,0.13
Anarhichas,minor,56.25,4.25,1500:364:1,0.14
Anarhichas,minor,56.25,4.75,1500:364:2,0.11
Anarhichas,minor,56.75,4.25,1500:364:3,0.17
Anarhichas,minor,56.75,4.75,1500:364:4,0.15
Anarhichas,minor,57.25,0.25,1500:370:1,0.12
Anarhichas,minor,57.25,0.75,1500:370:2,0.13
Anarhichas,minor,57.75,0.25,1500:370:3,0.1
Anarhichas,minor,57.75,0.75,1500:370:4,0.1
Anarhichas,minor,57.25,1.25,1500:371:1,0.13
Anarhichas,minor,57.25,1.75,1500:371:2,0.14
Anarhichas,minor,57.75,1.25,1500:371:3,0.11
Anarhichas,minor,57.75,1.75,1500:371:4,0.14
Anarhichas,minor,57.25,2.25,1500:372:1,0.14
