Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Leptoclinus,maculatus,54.25,5.75,1500:245:2,0.13
Leptoclinus,maculatus,54.75,5.25,1500:245:3,0.06
Leptoclinus,maculatus,54.75,5.75,1500:245:4,0.1
Leptoclinus,maculatus,54.25,6.25,1500:246:1,0.16
Leptoclinus,maculatus,54.75,6.25,1500:246:3,0.17
Leptoclinus,maculatus,54.25,8.75,1500:248:2,0.13
Leptoclinus,maculatus,54.25,9.25,1500:249:1,0.04
Leptoclinus,maculatus,54.75,9.75,1500:249:4,0.15
Leptoclinus,maculatus,55.25,0.25,1500:350:1,0.17
Leptoclinus,maculatus,55.25,0.75,1500:350:2,0.16
Leptoclinus,maculatus,55.75,0.25,1500:350:3,0.14
Leptoclinus,maculatus,55.75,0.75,1500:350:4,0.13
Leptoclinus,maculatus,55.25,1.25,1500:351:1,0.15
Leptoclinus,maculatus,55.25,1.75,1500:351:2,0.14
Leptoclinus,maculatus,55.75,1.25,1500:351:3,0.12
Leptoclinus,maculatus,55.75,1.75,1500:351:4,0.12
Leptoclinus,maculatus,55.25,2.25,1500:352:1,0.11
Leptoclinus,maculatus,55.25,2.75,1500:352:2,0.08
Leptoclinus,maculatus,55.75,2.25,1500:352:3,0.12
Leptoclinus,maculatus,55.75,2.75,1500:352:4,0.13
Leptoclinus,maculatus,55.25,3.25,1500:353:1,0.07
Leptoclinus,maculatus,55.25,3.75,1500:353:2,0.08
Leptoclinus,maculatus,55.75,3.25,1500:353:3,0.12
Leptoclinus,maculatus,55.75,3.75,1500:353:4,0.11
Leptoclinus,maculatus,55.25,4.25,1500:354:1,0.09
Leptoclinus,maculatus,55.25,4.75,1500:354:2,0.08
Leptoclinus,maculatus,55.75,4.25,1500:354:3,0.09
Leptoclinus,maculatus,55.75,4.75,1500:354:4,0.1
Leptoclinus,maculatus,56.25,0.25,1500:360:1,0.11
Leptoclinus,maculatus,56.25,0.75,1500:360:2,0.1
Leptoclinus,maculatus,56.75,0.25,1500:360:3,0.1
Leptoclinus,maculatus,56.75,0.75,1500:360:4,0.09
Leptoclinus,maculatus,56.25,1.25,1500:361:1,0.09
Leptoclinus,maculatus,56.25,1.75,1500:361:2,0.1
Leptoclinus,maculatus,56.75,1.25,1500:361:3,0.08
Leptoclinus,maculatus,56.75,1.75,1500:361:4,0.09
Leptoclinus,maculatus,56.25,2.25,1500:362:1,0.1
Leptoclinus,maculatus,56.25,2.75,1500:362:2,0.11
Leptoclinus,maculatus,56.75,2.25,1500:362:3,0.09
Leptoclinus,maculatus,56.75,2.75,1500:362:4,0.1
Leptoclinus,maculatus,56.25,3.25,1500:363:1,0.11
Leptoclinus,maculatus,56.25,3.75,1500:363:2,0.12
Leptoclinus,maculatus,56.75,3.25,1500:363:3,0.11
Leptoclinus,maculatus,56.75,3.75,1500:363:4,0.12
Leptoclinus,maculatus,56.25,4.25,1500:364:1,0.13
Leptoclinus,maculatus,56.25,4.75,1500:364:2,0.12
Leptoclinus,maculatus,56.75,4.25,1500:364:3,0.15
Leptoclinus,maculatus,56.75,4.75,1500:364:4,0.14
Leptoclinus,maculatus,57.25,0.25,1500:370:1,0.09
Leptoclinus,maculatus,57.25,0.75,1500:370:2,0.08
Leptoclinus,maculatus,57.75,0.25,1500:370:3,0.06
Leptoclinus,maculatus,57.75,0.75,1500:370:4,0.06
Leptoclinus,maculatus,57.25,1.25,1500:371:1,0.08
Leptoclinus,maculatus,57.25,1.75,1500:371:2,0.09
Leptoclinus,maculatus,57.75,1.25,1500:371:3,0.07
Leptoclinus,maculatus,57.75,1.75,1500:371:4,0.08
Leptoclinus,maculatus,57.25,2.25,1500:372:1,0.1
Leptoclinus,maculatus,57.25,2.75,1500:372:2,0.11
Leptoclinus,maculatus,57.75,2.25,1500:372:3,0.1
Leptoclinus,maculatus,57.75,2.75,1500:372:4,0.12
Leptoclinus,maculatus,57.25,3.25,1500:373:1,0.13
Leptoclinus,maculatus,57.25,3.75,1500:373:2,0.14
Leptoclinus,maculatus,57.75,3.25,1500:373:3,0.14
Leptoclinus,maculatus,57.75,3.75,1500:373:4,0.19
Leptoclinus,maculatus,57.25,4.25,1500:374:1,0.16
Leptoclinus,maculatus,57.25,4.75,1500:374:2,0.19
Leptoclinus,maculatus,58.25,0.25,1500:380:1,0.05
Leptoclinus,maculatus,58.25,0.75,1500:380:2,0.06
Leptoclinus,maculatus,58.75,0.25,1500:380:3,0.05
Leptoclinus,maculatus,58.75,0.75,1500:380:4,0.06
Leptoclinus,maculatus,58.25,1.25,1500:381:1,0.07
Leptoclinus,maculatus,58.25,1.75,1500:381:2,0.08
Leptoclinus,maculatus,58.75,1.25,1500:381:3,0.06
Leptoclinus,maculatus,58.75,1.75,1500:381:4,0.08
Leptoclinus,maculatus,58.25,2.25,1500:382:1,0.09
Leptoclinus,maculatus,58.25,2.75,1500:382:2,0.11
Leptoclinus,maculatus,58.75,2.25,1500:382:3,0.1
Leptoclinus,maculatus,58.75,2.75,1500:382:4,0.16
Leptoclinus,maculatus,58.25,3.25,1500:383:1,0.18
Leptoclinus,maculatus,59.25,0.25,1500:390:1,0.05
Leptoclinus,maculatus,59.25,0.75,1500:390:2,0.06
Leptoclinus,maculatus,59.75,0.25,1500:390:3,0.04
Leptoclinus,maculatus,59.75,0.75,1500:390:4,0.05
Leptoclinus,maculatus,59.25,1.25,1500:391:1,0.09
Leptoclinus,maculatus,59.25,1.75,1500:391:2,0.12
Leptoclinus,maculatus,59.75,1.25,1500:391:3,0.08
Leptoclinus,maculatus,59.75,1.75,1500:391:4,0.1
Leptoclinus,maculatus,59.25,2.25,1500:392:1,0.16
Leptoclinus,maculatus,59.75,2.25,1500:392:3,0.12
Leptoclinus,maculatus,59.75,2.75,1500:392:4,0.15
Leptoclinus,maculatus,55.25,5.25,1500:455:1,0.08
Leptoclinus,maculatus,55.25,5.75,1500:455:2,0.11
Leptoclinus,maculatus,55.75,5.25,1500:455:3,0.11
Leptoclinus,maculatus,55.75,5.75,1500:455:4,0.12
Leptoclinus,maculatus,55.75,6.25,1500:456:3,0.18
Leptoclinus,maculatus,56.25,5.25,1500:465:1,0.14
Leptoclinus,maculatus,56.25,5.75,1500:465:2,0.18
Leptoclinus,maculatus,56.75,5.25,1500:465:3,0.17
Leptoclinus,maculatus,56.75,5.75,1500:465:4,0.17
Leptoclinus,maculatus,56.25,6.25,1500:466:1,0.17
Leptoclinus,maculatus,58.25,7.25,1500:487:1,0.12
Leptoclinus,maculatus,53.75,13.75,1501:133:4,0.05
Leptoclinus,maculatus,53.75,14.25,1501:134:3,0.03
Leptoclinus,maculatus,53.75,14.75,1501:134:4,0.05
Leptoclinus,maculatus,54.25,10.25,1501:140:1,0.11
Leptoclinus,maculatus,54.25,10.75,1501:140:2,0.14
Leptoclinus,maculatus,54.75,10.25,1501:140:3,0.15
Leptoclinus,maculatus,54.75,10.75,1501:140:4,0.19
Leptoclinus,maculatus,54.25,11.25,1501:141:1,0.12
Leptoclinus,maculatus,54.25,11.75,1501:141:2,0.05
Leptoclinus,maculatus,54.75,11.25,1501:141:3,0.08
Leptoclinus,maculatus,54.75,11.75,1501:141:4,0.04
Leptoclinus,maculatus,54.25,12.25,1501:142:1,0.04
Leptoclinus,maculatus,54.25,12.75,1501:142:2,0.05
Leptoclinus,maculatus,54.75,12.25,1501:142:3,0.04
Leptoclinus,maculatus,54.75,12.75,1501:142:4,0.03
Leptoclinus,maculatus,54.25,13.25,1501:143:1,0.04
Leptoclinus,maculatus,54.25,13.75,1501:143:2,0.03
Leptoclinus,maculatus,54.75,13.25,1501:143:3,0.01
Leptoclinus,maculatus,54.75,13.75,1501:143:4,0.01
Leptoclinus,maculatus,54.25,14.25,1501:144:1,0.07
Leptoclinus,maculatus,54.25,14.75,1501:144:2,0.06
Leptoclinus,maculatus,54.75,14.25,1501:144:3,0.01
Leptoclinus,maculatus,54.25,15.25,1501:245:1,0.04
Leptoclinus,maculatus,54.25,15.75,1501:245:2,0.04
Leptoclinus,maculatus,54.25,16.25,1501:246:1,0.05
Leptoclinus,maculatus,54.75,16.25,1501:246:3,0.01
Leptoclinus,maculatus,54.75,16.75,1501:246:4,0.03
Leptoclinus,maculatus,54.75,17.25,1501:247:3,0.05
Leptoclinus,maculatus,54.75,17.75,1501:247:4,0.04
Leptoclinus,maculatus,54.25,18.75,1501:248:2,0.05
Leptoclinus,maculatus,54.75,18.25,1501:248:3,0.02
Leptoclinus,maculatus,54.75,18.75,1501:248:4,0.05
Leptoclinus,maculatus,54.25,19.25,1501:249:1,0.03
Leptoclinus,maculatus,54.25,19.75,1501:249:2,0.04
Leptoclinus,maculatus,54.75,19.25,1501:249:3,0.06
Leptoclinus,maculatus,54.75,19.75,1501:249:4,0.05
Leptoclinus,maculatus,55.75,10.75,1501:350:4,0.18
Leptoclinus,maculatus,55.25,11.25,1501:351:1,0.15
Leptoclinus,maculatus,55.25,11.75,1501:351:2,0.19
Leptoclinus,maculatus,55.75,11.25,1501:351:3,0.17
Leptoclinus,maculatus,55.75,11.75,1501:351:4,0.19
Leptoclinus,maculatus,55.25,12.25,1501:352:1,0.18
Leptoclinus,maculatus,55.25,12.75,1501:352:2,0.03
Leptoclinus,maculatus,55.75,14.25,1501:354:3,0.06
Leptoclinus,maculatus,55.75,14.75,1501:354:4,0.06
Leptoclinus,maculatus,56.25,11.25,1501:361:1,0.19
Leptoclinus,maculatus,56.75,11.25,1501:361:3,0.18
Leptoclinus,maculatus,56.25,14.75,1501:364:2,0.1
Leptoclinus,maculatus,58.25,11.75,1501:381:2,0.04
Leptoclinus,maculatus,59.75,10.25,1501:390:3,0.11
Leptoclinus,maculatus,55.25,17.25,1501:457:1,0.01
Leptoclinus,maculatus,55.25,17.75,1501:457:2,0.03
Leptoclinus,maculatus,55.25,18.25,1501:458:1,0.05
Leptoclinus,maculatus,55.25,18.75,1501:458:2,0.05
Leptoclinus,maculatus,55.75,18.75,1501:458:4,0.01
Leptoclinus,maculatus,55.25,19.25,1501:459:1,0.06
Leptoclinus,maculatus,55.25,19.75,1501:459:2,0.06
Leptoclinus,maculatus,55.75,19.25,1501:459:3,0.03
Leptoclinus,maculatus,55.75,19.75,1501:459:4,0.05
Leptoclinus,maculatus,56.25,15.25,1501:465:1,0.07
Leptoclinus,maculatus,56.25,15.75,1501:465:2,0.02
Leptoclinus,maculatus,56.25,16.25,1501:466:1,0.01
Leptoclinus,maculatus,56.75,16.25,1501:466:3,0.04
Leptoclinus,maculatus,56.75,16.75,1501:466:4,0.02
Leptoclinus,maculatus,56.25,19.75,1501:469:2,0.01
Leptoclinus,maculatus,57.25,16.75,1501:476:2,0.01
Leptoclinus,maculatus,57.75,16.75,1501:476:4,0.03
Leptoclinus,maculatus,57.75,17.25,1501:477:3,0.01
Leptoclinus,maculatus,58.25,16.75,1501:486:2,0.01
Leptoclinus,maculatus,58.75,16.75,1501:486:4,0.01
Leptoclinus,maculatus,58.25,17.25,1501:487:1,0.02
Leptoclinus,maculatus,58.75,17.25,1501:487:3,0.03
Leptoclinus,maculatus,58.75,17.75,1501:487:4,0.05
Leptoclinus,maculatus,58.75,18.25,1501:488:3,0.05
Leptoclinus,maculatus,59.25,18.75,1501:498:2,0.01
Leptoclinus,maculatus,54.75,20.25,1502:140:3,0.04
Leptoclinus,maculatus,54.75,20.75,1502:140:4,0.03
Leptoclinus,maculatus,54.75,21.25,1502:141:3,0.04
Leptoclinus,maculatus,55.25,20.25,1502:350:1,0.05
Leptoclinus,maculatus,55.25,20.75,1502:350:2,0.03
Leptoclinus,maculatus,55.75,20.25,1502:350:3,0.06
Leptoclinus,maculatus,55.75,20.75,1502:350:4,0.05
Leptoclinus,maculatus,55.25,21.25,1502:351:1,0.04
Leptoclinus,maculatus,55.75,21.25,1502:351:3,0.02
Leptoclinus,maculatus,56.25,20.25,1502:360:1,0.06
Leptoclinus,maculatus,56.25,20.75,1502:360:2,0.04
Leptoclinus,maculatus,56.75,20.25,1502:360:3,0.01
Leptoclinus,maculatus,56.75,20.75,1502:360:4,0.06
Leptoclinus,maculatus,56.25,21.25,1502:361:1,0.01
Leptoclinus,maculatus,56.75,21.25,1502:361:3,0.04
Leptoclinus,maculatus,57.25,20.75,1502:370:2,0.01
Leptoclinus,maculatus,57.25,21.25,1502:371:1,0.06
Leptoclinus,maculatus,57.25,21.75,1502:371:2,0.01
Leptoclinus,maculatus,57.75,21.75,1502:371:4,0.04
Leptoclinus,maculatus,58.25,21.75,1502:381:2,0.02
Leptoclinus,maculatus,58.75,21.75,1502:381:4,0.01
