Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Melanostigma,pammelas,37.75,-126.25,7312:476:3,0.39
Melanostigma,pammelas,37.25,-126.75,7312:476:2,0.34
Melanostigma,pammelas,37.25,-126.25,7312:476:1,0.35
Melanostigma,pammelas,37.75,-125.75,7312:475:4,0.39
Melanostigma,pammelas,37.25,-125.75,7312:475:2,0.35
Melanostigma,pammelas,36.75,-127.75,7312:467:4,0.22
Melanostigma,pammelas,36.75,-127.25,7312:467:3,0.31
Melanostigma,pammelas,36.25,-127.25,7312:467:1,0.25
Melanostigma,pammelas,36.75,-126.75,7312:466:4,0.34
Melanostigma,pammelas,36.75,-126.25,7312:466:3,0.35
Melanostigma,pammelas,36.25,-126.75,7312:466:2,0.31
Melanostigma,pammelas,36.25,-126.25,7312:466:1,0.32
Melanostigma,pammelas,36.75,-125.75,7312:465:4,0.35
Melanostigma,pammelas,36.25,-125.75,7312:465:2,0.32
Melanostigma,pammelas,36.25,-125.25,7312:465:1,0.35
Melanostigma,pammelas,35.75,-126.25,7312:456:3,0.23
Melanostigma,pammelas,35.75,-125.75,7312:455:4,0.29
Melanostigma,pammelas,35.75,-125.25,7312:455:3,0.35
Melanostigma,pammelas,35.25,-125.25,7312:455:1,0.31
Melanostigma,pammelas,36.25,-124.75,7312:364:2,0.38
Melanostigma,pammelas,36.75,-121.75,7312:361:4,0.2
Melanostigma,pammelas,35.75,-124.75,7312:354:4,0.38
Melanostigma,pammelas,35.25,-124.75,7312:354:2,0.37
Melanostigma,pammelas,35.25,-124.25,7312:354:1,0.38
Melanostigma,pammelas,34.75,-124.75,7312:144:4,0.26
Melanostigma,pammelas,34.75,-124.25,7312:144:3,0.38
Melanostigma,pammelas,34.25,-124.25,7312:144:1,0.21
Melanostigma,pammelas,34.75,-123.75,7312:143:4,0.38
Melanostigma,pammelas,34.25,-123.75,7312:143:2,0.34
Melanostigma,pammelas,34.25,-123.25,7312:143:1,0.38
Melanostigma,pammelas,33.75,-123.75,7312:133:4,0.25
Melanostigma,pammelas,33.75,-123.25,7312:133:3,0.37
Melanostigma,pammelas,33.25,-123.25,7312:133:1,0.24
Melanostigma,pammelas,33.25,-122.75,7312:132:2,0.29
Melanostigma,pammelas,32.75,-121.75,7312:121:4,0.23
Melanostigma,pammelas,32.75,-121.25,7312:121:3,0.3
Melanostigma,pammelas,32.75,-120.75,7312:120:4,0.39
Melanostigma,pammelas,33.25,-119.25,7311:239:1,0.31
Melanostigma,pammelas,33.25,-118.25,7311:238:1,0.38
Melanostigma,pammelas,31.25,-118.75,7311:218:2,0.34
Melanostigma,pammelas,31.75,-116.75,7311:216:4,0.3
Melanostigma,pammelas,31.25,-116.25,7311:216:1,0.31
Melanostigma,pammelas,29.75,-118.25,7211:498:3,0.28
Melanostigma,pammelas,28.75,-119.25,7211:489:3,0.21
Melanostigma,pammelas,28.25,-116.25,7211:486:1,0.36
Melanostigma,pammelas,27.25,-117.25,7211:477:1,0.28
Melanostigma,pammelas,26.75,-116.75,7211:466:4,0.27
Melanostigma,pammelas,26.75,-116.25,7211:466:3,0.37
Melanostigma,pammelas,26.25,-115.25,7211:465:1,0.33
Melanostigma,pammelas,25.75,-114.25,7211:354:3,0.22
Melanostigma,pammelas,51.25,-133.75,7513:113:2,0.56
Melanostigma,pammelas,50.75,-133.75,7513:103:4,0.4
Melanostigma,pammelas,50.75,-133.25,7513:103:3,0.5
Melanostigma,pammelas,50.25,-133.75,7513:103:2,0.4
Melanostigma,pammelas,50.25,-133.25,7513:103:1,0.44
Melanostigma,pammelas,50.25,-132.75,7513:102:2,0.57
Melanostigma,pammelas,49.75,-133.75,7413:393:4,0.4
Melanostigma,pammelas,49.75,-133.25,7413:393:3,0.44
Melanostigma,pammelas,49.25,-133.75,7413:393:2,0.58
Melanostigma,pammelas,49.25,-133.25,7413:393:1,0.5
Melanostigma,pammelas,49.75,-132.75,7413:392:4,0.59
Melanostigma,pammelas,49.75,-132.25,7413:392:3,0.51
Melanostigma,pammelas,49.25,-132.75,7413:392:2,0.57
Melanostigma,pammelas,48.75,-133.75,7413:383:4,0.53
Melanostigma,pammelas,48.25,-133.25,7413:383:1,0.57
Melanostigma,pammelas,48.75,-132.75,7413:382:4,0.42
Melanostigma,pammelas,48.25,-132.75,7413:382:2,0.47
Melanostigma,pammelas,48.25,-132.25,7413:382:1,0.51
Melanostigma,pammelas,47.75,-132.25,7413:372:3,0.45
Melanostigma,pammelas,47.25,-132.75,7413:372:2,0.44
Melanostigma,pammelas,47.25,-132.25,7413:372:1,0.41
Melanostigma,pammelas,47.75,-131.75,7413:371:4,0.57
Melanostigma,pammelas,47.75,-131.25,7413:371:3,0.56
Melanostigma,pammelas,47.25,-131.75,7413:371:2,0.46
Melanostigma,pammelas,47.25,-131.25,7413:371:1,0.45
Melanostigma,pammelas,47.25,-130.75,7413:370:2,0.5
Melanostigma,pammelas,47.25,-130.25,7413:370:1,0.58
Melanostigma,pammelas,46.75,-130.75,7413:360:4,0.41
Melanostigma,pammelas,46.75,-130.25,7413:360:3,0.47
Melanostigma,pammelas,46.25,-130.25,7413:360:1,0.45
Melanostigma,pammelas,47.75,-129.25,7412:479:3,0.49
