Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Gasterosteus,aculeatus,71.25,-121.75,7712:111:2,0.01
Gasterosteus,aculeatus,71.25,-121.25,7712:111:1,0.01
Gasterosteus,aculeatus,71.75,-120.75,7712:110:4,0.01
Gasterosteus,aculeatus,71.75,-118.75,7711:218:4,0.01
Gasterosteus,aculeatus,71.75,-118.25,7711:218:3,0.01
Gasterosteus,aculeatus,71.25,-118.25,7711:218:1,0.01
Gasterosteus,aculeatus,71.75,-117.75,7711:217:4,0.01
Gasterosteus,aculeatus,71.25,-117.75,7711:217:2,0.01
Gasterosteus,aculeatus,71.25,-117.25,7711:217:1,0.01
Gasterosteus,aculeatus,71.25,-116.75,7711:216:2,0.01
Gasterosteus,aculeatus,70.75,-118.25,7711:208:3,0.01
Gasterosteus,aculeatus,70.75,-117.75,7711:207:4,0.01
Gasterosteus,aculeatus,70.75,-117.25,7711:207:3,0.01
Gasterosteus,aculeatus,70.25,-117.25,7711:207:1,0.01
Gasterosteus,aculeatus,70.75,-116.75,7711:206:4,0.01
Gasterosteus,aculeatus,70.75,-116.25,7711:206:3,0.01
Gasterosteus,aculeatus,70.25,-116.75,7711:206:2,0.01
Gasterosteus,aculeatus,70.25,-116.25,7711:206:1,0.01
Gasterosteus,aculeatus,70.75,-115.75,7711:205:4,0.01
Gasterosteus,aculeatus,70.25,-115.75,7711:205:2,0.01
Gasterosteus,aculeatus,70.25,-115.25,7711:205:1,0.01
Gasterosteus,aculeatus,71.25,-71.25,7707:111:1,0.01
Gasterosteus,aculeatus,71.25,-70.75,7707:110:2,0.01
Gasterosteus,aculeatus,70.25,-69.75,7706:209:2,0.01
Gasterosteus,aculeatus,70.25,-69.25,7706:209:1,0.01
Gasterosteus,aculeatus,70.25,-68.75,7706:208:2,0.01
Gasterosteus,aculeatus,70.25,-68.25,7706:208:1,0.01
Gasterosteus,aculeatus,71.75,-56.25,7705:216:3,0.04
Gasterosteus,aculeatus,71.75,-55.75,7705:215:4,0.14
Gasterosteus,aculeatus,71.25,-55.75,7705:215:2,0.18
Gasterosteus,aculeatus,70.25,-56.25,7705:206:1,0.01
Gasterosteus,aculeatus,70.75,-55.75,7705:205:4,0.12
Gasterosteus,aculeatus,70.25,-55.75,7705:205:2,0.16
Gasterosteus,aculeatus,71.75,-54.25,7705:114:3,0.17
Gasterosteus,aculeatus,71.75,-53.75,7705:113:4,0.16
Gasterosteus,aculeatus,71.75,-53.25,7705:113:3,0.14
Gasterosteus,aculeatus,71.25,-53.25,7705:113:1,0.19
Gasterosteus,aculeatus,71.75,-52.75,7705:112:4,0.12
Gasterosteus,aculeatus,71.75,-52.25,7705:112:3,0.11
Gasterosteus,aculeatus,71.25,-52.75,7705:112:2,0.16
Gasterosteus,aculeatus,71.25,-52.25,7705:112:1,0.13
Gasterosteus,aculeatus,71.75,-51.75,7705:111:4,0.1
Gasterosteus,aculeatus,71.75,-51.25,7705:111:3,0.09
Gasterosteus,aculeatus,71.25,-51.75,7705:111:2,0.12
Gasterosteus,aculeatus,71.25,-51.25,7705:111:1,0.11
Gasterosteus,aculeatus,70.75,-52.75,7705:102:4,0.19
Gasterosteus,aculeatus,70.75,-52.25,7705:102:3,0.16
