tip.label,Genome_size
Anarhichas lupus,627663113
Anarhichas minor,643864434
Bathymaster signatus,714261117
Lycodes platyrhinus,718505254
Lycodes diapterus,711911251
Melanostigma gelatinosum,661975483
Lycodes pacificus,646369862
Ophthalmolycus amberensis,712582824
Pholis gunnellus,588696950
Cebidichthys violaceus,575660146
Leptoclinus maculatus,699894842
Gasterosteus aculeatus,471894361
